what the hell,0
are you crazy. Don't you have any brain,0
are you insane,0
shut up,0
have you gone mad,0
are you mad,0
where the hell have you been,0
what is wrong with you,0
what the hell is wrong with you,0
You are such a dumb person,0
your food is like dirt,0
oh crap,0
what the crap,0
you have two horns on you head.,0
you are so mad and idiotic,0
your have no manners. You asshole,0
You do not have any manners rgt. You are so foolish.,0
I need some dignity here. Try to learn some manners.,0
Your angriness is meaningless. I hate you.,0
I will beat the shit out of you,0
Hello,1
How are you,1
How is your day today?,1
How are you doing?,1
Hey,1
Hi,1
Hola,1
Howdy,1
Good morning,1
Good afternoon,1
good night,1
good day,1
good evening,1
what a pleasant day,1
how was your sleep last night,1
how are you doing right now,1
how has your day been so far,1
what has happened for you today,1
How is everything going?,1
how is everything,1
how is it going,1
how is it going,1
howwa you,1
whats up,1
good to see you,1
how are things,1
long time no see,1
where have you been hiding,1
its been ages,1
how have you been,1
hows life been treating you,1
It has been a long time.,1
It’s been too long.,1
What have you been up to all these years?,1
It’s always a pleasure to see you.,1
How long has it been?,1
What’s new?,1
whats cracking,1
You have been my mentor for my entire life.,1
I owe you my entire life.,1
You are a wonderful human being,1
I love your company,1
I love the amtmosphere in your house,1
You should be very lucky to have a wonderful family.,1
I really love your company,1
it was nice meeting you,1
it is good to meet you,1
nice to meet you,1
good to talk to you,1
nice talking to you,1
had a great talk with you,1
it was nice talking to you,1
you are the best,1
you're the best,1
have a good rest of the day,1
see you soon,1
catch you later,1
let us meet later,1
I have to discuss something with you later,1
lets talk over a cup of coffee,1
shall meet later,1
see you,1
see you later,1
talk to you later,1
will talk to you later,1
well done,1
good job,1
good work,1
you did a great job,1
you are fantastic,1
I do not like your home,0
You are so idiotic,0
You should be sent to hell,0
Yoi should kill yourself,0
Please go away,0
I want to kill you,0
You should be hanged,0
you do not know how to respect elders. You idiot,0
Why do you want to eat my brain,0
I just hate you,0
You are such a dumb person,0
your food is like dirt,0
oh crap,0
what the crap,0
you have two horns on you head.,0
you are so mad and idiotic,0
your have no manners. You asshole,0
You do not have any manners rgt. You are so foolish.,0
I need some dignity here. Try to learn some manners.,0
Your angriness is meaningless. I hate you.,0
I will beat the shit out of you,0
Hello,1
How are you,1
How is your day today?,1
How are you doing?,1
This is a good day,1
I love your place,1
I love your heart. You are so generous,1
I love the way you speak.,1
Good morning,1
Good afternoon,1
good night,1
good day,1
good evening,1
I do not like your home,0
You are so idiotic,0
You should be sent to hell,0
Yoi should kill yourself,0
Please go away,0
I want to kill you,0
You should be hanged,0
you do not know how to respect elders. You idiot,0
Why do you want to eat my brain,0
I just hate you,0
what a pleasant day,1
how was your sleep last night,1
how are you doing right now,1
how has your day been so far,1
what has happened for you today,1
How is everything going?,1
how is everything,1
what the crap,0
you have two horns on you head.,0
you are so mad and idiotic,0
your have no manners. You asshole,0
You do not have any manners rgt. You are so foolish.,0
I need some dignity here. Try to learn some manners.,0
Your angriness is meaningless. I hate you.,0
I will beat the shit out of you,0
Hello,1
How are you,1
How is your day today?,1
How are you doing?,1
This is a good day,1
I love your place,1
I love your heart. You are so generous,1
I love the way you speak.,1
Good morning,1
Good afternoon,1
good night,1
good day,1
good evening,1
I do not like your home,0
good evening mam.,1
what a pleasant day I had. This is just because of you.,1
how was your sleep last night,1
good night. Sweet dreams,1
good day madam.,1
good evening sir.,1
what a pleasant day. It is just because of you.,1
I love your heart. You are so generous person,1
The best day of the week is when I am with you,1
I really love the genorosity of your's,1
You have a lot of patience,1
Please allow me to congratulate you,1
Congratulations on completion of your project.,1
You do not have any manners rgt. You are so foolish.,0
I need some dignity here. Try to learn some manners.,0
Your angriness is meaningless. I hate you.,0
I will beat the shit out of you,0
you always need to concentrate more on your life.,1
The love of your life is me,1
There cannot be anyone in your life to demotivate you at any point of time,1
I will always stay by your side,1
You dumb fellow,0
You probably need to have some common sense to understand people,0
what the crap you are,0
you have two horns on you head.,0
you are so mad and idiotic,0
your have no manners. You asshole,0
You do not have any manners rgt. You are so foolish.,0
I need some dignity here. Try to learn some manners.,0
Your angriness is meaningless. I hate you.,0
I will beat the shit out of you,0
Hello,1
How are you,1
How is your day today?,1
How are you doing?,1
This is a good day,1
I love your place very much,1
